t,l,u,R,v,phi,x,y
2.6325e+11,0.69115,1.48844,5.80257e+07,2.14673,2.25407,-3.66334e+07,4.49997e+07
2.65643e+11,0.697434,1.49515,5.81861e+07,2.15236,2.25998,-3.70009e+07,4.49061e+07
2.68036e+11,0.703717,1.50181,5.83457e+07,2.15794,2.26583,-3.73655e+07,4.48112e+07
2.70429e+11,0.71,1.50845,5.85045e+07,2.16346,2.27163,-3.77271e+07,4.47152e+07
2.72823e+11,0.716283,1.51504,5.86625e+07,2.16893,2.27738,-3.80858e+07,4.4618e+07
2.75216e+11,0.722566,1.5216,5.88197e+07,2.17435,2.28306,-3.84417e+07,4.45196e+07
2.77609e+11,0.728849,1.52812,5.89761e+07,2.17971,2.2887,-3.87948e+07,4.44201e+07
2.80002e+11,0.735133,1.53461,5.91317e+07,2.18503,2.29428,-3.91452e+07,4.43194e+07
2.82395e+11,0.741416,1.54106,5.92865e+07,2.1903,2.29981,-3.94928e+07,4.42177e+07
2.84789e+11,0.747699,1.54748,5.94405e+07,2.19551,2.30529,-3.98377e+07,4.4115e+07
2.87182e+11,0.753982,1.55387,5.95937e+07,2.20069,2.31072,-4.01799e+07,4.40112e+07
2.89575e+11,0.760265,1.56022,5.97462e+07,2.20581,2.3161,-4.05196e+07,4.39064e+07
2.91968e+11,0.766549,1.56654,5.98979e+07,2.21089,2.32143,-4.08566e+07,4.38006e+07
2.94361e+11,0.772832,1.57283,6.00488e+07,2.21592,2.32672,-4.11911e+07,4.36938e+07
2.96754e+11,0.779115,1.57909,6.0199e+07,2.22091,2.33196,-4.15231e+07,4.35861e+07
2.99148e+11,0.785398,1.58531,6.03484e+07,2.22586,2.33715,-4.18526e+07,4.34775e+07
3.01541e+11,0.791681,1.59151,6.04971e+07,2.23077,2.3423,-4.21796e+07,4.33679e+07
3.03934e+11,0.797965,1.59768,6.0645e+07,2.23563,2.34741,-4.25042e+07,4.32575e+07
3.06327e+11,0.804248,1.60381,6.07922e+07,2.24045,2.35247,-4.28264e+07,4.31462e+07
3.0872e+11,0.810531,1.60992,6.09387e+07,2.24523,2.3575,-4.31462e+07,4.30341e+07
3.11114e+11,0.816814,1.616,6.10844e+07,2.24998,2.36248,-4.34637e+07,4.29211e+07
3.13507e+11,0.823097,1.62205,6.12295e+07,2.25468,2.36741,-4.37788e+07,4.28073e+07
3.159e+11,0.82938,1.62807,6.13738e+07,2.25935,2.37231,-4.40917e+07,4.26927e+07
3.18293e+11,0.835664,1.63406,6.15174e+07,2.26397,2.37717,-4.44023e+07,4.25773e+07
3.20686e+11,0.841947,1.64003,6.16603e+07,2.26857,2.38199,-4.47106e+07,4.24612e+07
3.23079e+11,0.84823,1.64597,6.18025e+07,2.27312,2.38678,-4.50168e+07,4.23443e+07
